Population,Gene,Prop
RMB2-F01,PSE1,0.81
RMS1-H08,PSH1,0.01
BYS2-E03,PSR2,0.01
BYS2-A11,PTC3,0.2
BYB2-F10,PTR2,0.42
RMB2-F01,PUF6,0.23
BYS2-E04,PUS9,0.03
RMB2-F01,QRI1,0.03
BYS1-G02,RAS2,0.09
BYB1-H06,RAX2,0.31
BYS2-D07,RCK2,0.07
RMS1-D12,RCK2,0.02
RMS1-G02,RDS1,0.01
BYS2-A11,REI1,0.03
BYS1-D03,RIB3,0.01
BYB2-F10,RNH1,0.01
BYS2-C03,RNQ1,0.18
BYS2-D07,ROG1,0.04
RMS2-D09,ROT1,0.26
BYB1-G07,ROT2,0.09
BYB2-E05,ROT2,0.03
BYB2-F09,ROT2,0.04
BYB2-F10,ROT2,0.17
BYS1-A04,ROT2,0.86
BYS1-G01,ROT2,0.19
RMB2-D08,ROT2,0.06
RMS1-D12,ROT2,0.73
BYS2-C06,RPG1,0.26
RMS1-E09,RPG1,0.03
RMB1-A02,RPL17B,0.15
BYS2-E03,RPO21,0.64
BYS1-D08,RPO31,0.04
BYS1-G02,RPO31,0.07
BYS1-G02,RPS21B,0.11
BYS2-B09,RPT5,0.01
BYS2-C01,RRD1,0.78
BYB1-H06,RRP3,0.01
BYS1-D08,RXT2,0.99
BYS2-C03,S1S1,0.25
BYS2-C03,SCC2,0.98
BYS1-D03,SCP1,0.2
BYS1-G02,SEC18,0.06
RMB2-D08,SEC6,0.88
BYS2-A11,SED1,0.04
BYS1-F05,SET4,0.05
BYS2-D07,SET4,0.03
RMS1-H08,SET4,0.16
BYS1-F05,SFH1,0.12
BYB1-B01,SFL1,0.9
BYB1-H06,SFL1,0.03
RMB2-B10,SIM1,0.02
BYS1-F05,SLM1,0.15
BYS1-A07,SNC1,0.95
BYB1-G07,SPC3,0.54
RMS1-D12,SPT8,0.01
BYS1-D07,SSC2,0.06
RMB1-A02,SSK1,1
BYB2-E05,SSZ1,0.3
BYS1-G02,STE11,0.04
BYS2-C03,STE11,0.03
RMB2-B10,STE11,0.03
RMS1-H08,STE11,0.02
BYB2-F10,STE12,0.01
BYS1-A08,STE12,0.04
BYS1-F05,STE12,0.11
BYS2-E01,STE12,0.27
BYS2-E03,STE12,0.61
RMB2-F09,STE12,0.35
RMS1-E09,STE12,0.19
BYS1-A04,STE4,0.73
BYS1-F05,STE4,0.46
BYS2-C06,STE5,0.03
BYS2-C06,STE6,0.15
BYS2-B09,STO1,0.01
BYS2-E03,STP2,0.03
BYS2-C06,SUN4,0.01
RMB1-A02,TAF1,0.01
BYS1-E03,TAF12,0.01
BYS2-E03,TBS1,0.01
BYB2-F09,TEA1,0.02
BYS1-D08,TFB3,0.02
BYS2-D06,TOM20,0.03
RMB2-F01,TOP1,0.13
BYS1-D07,TPO5,0.15
BYB1-B01,TRS130,0.96
BYS1-F05,TTI1,0.38
BYB1-H10,TUL1,0.29
BYS1-D07,TUL1,0.12
BYB1-H10,TVP15,0.02
BYS1-D07,TVP38,0.04
BYS2-E04,UBP3,0.02
BYS1-G02,UBR2,0.1
BYB1-B01,UBX5,0.94
RMS1-D12,ULS1,0.02
BYS1-F05,URA2,0.02
BYS1-A09,URB1,0.01
BYS1-D03,UTP10,0.01
BYS2-E03,UTP15,0.01
BYB2-E05,UTR1,0.01
RMB2-B10,UTR2,0.01
BYS1-F05,VID22,0.36
RMB2-F01,VID30,0.71
BYS2-D06,VOA1,0.08
RMS2-D09,VPS13,0.09
BYB1-C05,VPS15,0.33
BYS2-D06,VPS35,0.12
BYS2-E03,VPS68,0.01
BYB2-E05,VPS70,0.01
RMB2-B10,VPS75,0.4
RMS1-G02,VTC2,0.05
BYS1-D07,VTC3,0.64
BYS2-C03,WAR1,0.12
BYB1-G07,WHI2,0.29
BYB2-F09,WHI2,0.05
RMS1-E09,WHI2,0.01
BYS2-C01,YAT1,0.79
BYB1-H10,YBL008W-A,0.02
BYS1-D03,YCR101C,0.04
BYS1-D03,YDR124W,0.04
BYS1-G01,YDR524C-B,0.45
BYS2-C01,YGL114W,0.03
BYS1-F05,YGR237C,0.01
BYS2-C06,YGR266W,0.12
BYB1-H10,YHR033W,0.01
BYS2-A11,YHR033W,0.26
RMS1-D12,YHR045W,0.09
RMS1-G02,YHR122W,0.28
BYS1-D07,YHR202W,0.01
BYS2-D06,YIL102C-A,0.15
BYS2-D07,YKU80,0.03
BYS1-A09,YLR108C,0.02
BYB2-F10,YLR162W,0.07
BYB1-C05,YLR177W,0.41
BYS2-A11,YLR253W,0.1
RMS1-G02,YLR413W,0.26
BYS1-D07,YMR102C,0.16
RMS2-D09,YMR253C,0.21
RMS1-E09,YMR317W,0.01
BYB1-H06,YNL165W,0.21
BYS2-E04,YNL207W,0.8
BYS1-G01,YNR066C,0.24
RMB2-B10,YOL036W,0.09
BYB2-E05,YOL075C,0.22
BYS2-C03,YOL162W,1
RMB2-D08,YOR389W,0.03
BYS1-A09,YPR015C,0.01
BYB1-G07,YPR117W,0.33
BYB1-G07,YPR196W,0.08
BYS2-A11,YTA6,0.22
BYB1-G07,YUR1,0.02
BYS1-D08,YUR1,1
BYS1-G01,YUR1,0.14
BYS2-D07,YUR1,0.97
BYS2-E04,YUR1,0.83
RMB2-B10,YUR1,0.23
RMS1-D12,YUR1,0.21
BYB1-H06,ZRT2,0.29
RMB2-F01,ZWF1,0.7
