"paper","dataset_name","environment","generation","day","flask","selective_pressure","species","ploidy","strain_info","c_hyper","p_chisq","estimate","N_genes.notParallel","N_genes.parallel","parallel_genes","who_analyzed","func"
"Keane2014","Keane2014","YPD","440",NA,NA,"YPD","Sac","haploid","msh2 deleted",2.889,0.005,0.259,269,15,"R0010WR0040C, YAL013W, YAL063C, YDL159W, YDR381W, YDR494W, YDR544C, YGL041C, YGL197W, YGR107W, YHR211W, YIL123W, YJR154W, YKL072W, YNL192W","TL","multiple_wide"
"Keane2014","Keane2014","YPD","1100",NA,NA,"YPD","Sac","haploid","msh2 deleted",4.952,0.005,0.234,368,42,"R0010WR0040C, YAL013W, YAL063C, YBR097W, YBR115C, YBR140C, YBR150C, YCL034W, YCR048W, YDL115C, YDL159W, YDR178W, YDR181C, YDR293C, YDR350C, YDR494W, YDR544C, YGL041C, YGL197W, YGR107W, YHR009C, YHR043C, YHR211W, YIL123W, YJL123C, YJR154W, YJR160C, YKR054C, YLR140W, YLR184W, YLR279W, YMR115W, YMR207C, YMR306W, YNL008C, YNL083W, YNL192W, YNR075W, YOR038C, YOR149C, YOR255W, YPR117W","TL","multiple_wide"
"Keane2014","Keane2014","YPD","1540",NA,NA,"YPD","Sac","haploid","msh2 deleted",8.593,0.005,0.252,589,108,"R0010WR0040C, YAL003W, YAL013W, YAL026C, YAL063C, YBL035C, YBR007C, YBR090C, YBR097W, YBR115C, YBR119W, YBR140C, YBR148W, YBR150C, YBR178W, YBR203W, YBR226C, YBR292C, YCL024W, YCL034W, YCR048W, YDL018C, YDL115C, YDL159W, YDL196W, YDR178W, YDR181C, YDR223W, YDR293C, YDR350C, YDR381W, YDR494W, YDR509W, YDR520C, YDR544C, YER132C, YER133W, YFL053W, YFR047C, YGL041C, YGL059W, YGL197W, YGL229C, YGR001C, YGR107W, YGR108W, YGR139W, YGR154C, YGR258C, YGR265W, YGR274C, YHR043C, YHR095W, YHR173C, YIL049W, YIL123W, YIL127C, YJL123C, YJL207C, YJR071W, YJR087W, YJR098C, YJR154W, YKL072W, YKL115C, YKL129C, YKL134C, YKL222C, YKR011C, YKR015C, YKR040C, YLR030W, YLR140W, YLR184W, YLR202C, YLR260W, YLR279W, YLR309C, YLR311C, YLR454W, YMR076C, YMR115W, YMR160W, YMR187C, YMR207C, YNL008C, YNL083W, YNL103W, YNL192W, YNL196C, YNL243W, YNL269W, YNR067C, YNR075W, YOR029W, YOR038C, YOR128C, YOR197W, YOR255W, YOR298W, YOR392W, YPL048W, YPL121C, YPL195W, YPL218W, YPR029C, YPR061C, YPR117W","TL","multiple_wide"
"Keane2014","Keane2014","YPD","1980",NA,NA,"YPD","Sac","haploid","msh2 deleted",5.552,0.005,0.326,605,91,"R0010WR0040C, YAL013W, YAL063C, YAL064W, YAR014C, YBL035C, YBR119W, YBR148W, YBR150C, YBR178W, YBR203W, YBR262C, YBR264C, YBR272C, YCL024W, YCL034W, YCR048W, YDL018C, YDL194W, YDL221W, YDR109C, YDR178W, YDR223W, YDR293C, YDR340W, YDR350C, YDR534C, YDR544C, YER003C, YER032W, YER047C, YER133W, YFR047C, YGL041C, YGL062W, YGL197W, YGR001C, YGR107W, YGR108W, YGR245C, YGR249W, YGR265W, YGR271W, YHL024W, YHL050C, YHR095W, YHR173C, YIL049W, YIL092W, YIL123W, YJL113W, YJL162C, YJL207C, YJR098C, YJR147W, YKL134C, YKL217W, YKL220C, YKL222C, YKR007W, YKR011C, YKR015C, YKR040C, YKR095W, YLR030W, YLR087C, YLR140W, YLR184W, YLR309C, YMR065W, YMR076C, YMR186W, YMR207C, YNL083W, YNL179C, YNL269W, YNL338W, YNR053C, YOL123W, YOR029W, YOR038C, YOR128C, YOR197W, YOR199W, YOR227W, YOR255W, YOR298W, YOR392W, YPL121C, YPL157W, YPR061C","TL","multiple_wide"
"Keane2014","Keane2014","YPD","2200",NA,NA,"YPD","Sac","haploid","msh2 deleted",7.904,0.005,0.333,718,124,"Q0045, R0010WR0040C, YAL003W, YAL013W, YBL012C, YBR007C, YBR090C, YBR119W, YBR148W, YBR150C, YBR178W, YBR202W, YBR226C, YBR235W, YBR262C, YBR264C, YBR292C, YCL024W, YCL034W, YCR048W, YDL018C, YDL079C, YDL145C, YDL194W, YDL196W, YDL221W, YDR109C, YDR178W, YDR181C, YDR223W, YDR350C, YDR381W, YER032W, YER047C, YER133W, YGL059W, YGL197W, YGL229C, YGR001C, YGR107W, YGR108W, YGR274C, YGR283C, YHL041W, YHR043C, YHR077C, YHR095W, YHR173C, YIL049W, YIL085C, YIL092W, YIL123W, YIL127C, YIL149C, YJL079C, YJL207C, YJR071W, YJR098C, YJR147W, YKL030W, YKL044W, YKL115C, YKL129C, YKL134C, YKL220C, YKL222C, YKR011C, YKR015C, YKR040C, YKR054C, YKR060W, YKR095W, YLR014C, YLR030W, YLR087C, YLR111W, YLR140W, YLR184W, YLR223C, YLR260W, YLR279W, YLR309C, YLR311C, YLR454W, YML090W, YML096W, YMR076C, YMR160W, YMR186W, YMR207C, YMR210W, YMR313C, YNL008C, YNL083W, YNL125C, YNL179C, YNL192W, YNL196C, YNL268W, YNL269W, YNL286W, YNR075W, YOL120C, YOL123W, YOR029W, YOR038C, YOR128C, YOR182C, YOR197W, YOR199W, YOR227W, YOR229W, YOR233W, YOR255W, YOR298W, YOR308C, YOR392W, YPL120W, YPL121C, YPL143W, YPL157W, YPL195W, YPL218W, YPR061C","TL","multiple_wide"
