"selective_pressure","population","gene","frequency"
"no NaCl","m9p_ma1_2","galS",0
"no NaCl","m9p_ma1_3","galS",0
"no NaCl","m9p_ma1_1","garR",0
"no NaCl","m9p_ma1_2","garR",0
"no NaCl","m9p_ma1_3","garR",0
"no NaCl","m9p_ma1_1","gatC",1
"no NaCl","m9p_ma1_2","gatC",1
"no NaCl","m9p_ma1_3","gatC",1
"no NaCl","m9p_ma1_1","gldA",0
"no NaCl","m9p_ma1_2","gldA",0
"no NaCl","m9p_ma1_3","gldA",0
"no NaCl","m9p_ma1_1","glpR",1
"no NaCl","m9p_ma1_2","glpR",1
"no NaCl","m9p_ma1_3","glpR",1
"no NaCl","m9p_ma1_1","glsA",0
"no NaCl","m9p_ma1_2","glsA",0
"no NaCl","m9p_ma1_3","glsA",0
"no NaCl","m9p_ma1_1","gltB",0
"no NaCl","m9p_ma1_2","gltB",0
"no NaCl","m9p_ma1_3","gltB",0
"no NaCl","m9p_ma1_1","gltF",0
"no NaCl","m9p_ma1_2","gltF",0
"no NaCl","m9p_ma1_3","gltF",0
"no NaCl","m9p_ma1_1","glxK",0
"no NaCl","m9p_ma1_2","glxK",0
"no NaCl","m9p_ma1_3","glxK",0
"no NaCl","m9p_ma1_1","gspK",0
"no NaCl","m9p_ma1_2","gspK",0
"no NaCl","m9p_ma1_3","gspK",0
"no NaCl","m9p_ma1_1","gtrS",0
"no NaCl","m9p_ma1_2","gtrS",0
"no NaCl","m9p_ma1_3","gtrS",0
"no NaCl","m9p_ma1_1","hemY",0
"no NaCl","m9p_ma1_2","hemY",0
"no NaCl","m9p_ma1_3","hemY",0
"no NaCl","m9p_ma1_1","hrpA",0
"no NaCl","m9p_ma1_2","hrpA",0
"no NaCl","m9p_ma1_3","hrpA",0
"no NaCl","m9p_ma1_1","hsdR",0
"no NaCl","m9p_ma1_2","hsdR",0
"no NaCl","m9p_ma1_3","hsdR",0
"no NaCl","m9p_ma1_1","insA",0
"no NaCl","m9p_ma1_2","insA",0
"no NaCl","m9p_ma1_3","insA",0
"no NaCl","m9p_ma1_1","insB1insA",1
"no NaCl","m9p_ma1_2","insB1insA",1
"no NaCl","m9p_ma1_3","insB1insA",1
"no NaCl","m9p_ma1_1","intF",0
"no NaCl","m9p_ma1_2","intF",0
"no NaCl","m9p_ma1_3","intF",0
"no NaCl","m9p_ma1_1","lnt",0
"no NaCl","m9p_ma1_2","lnt",0
"no NaCl","m9p_ma1_3","lnt",0
"no NaCl","m9p_ma1_1","maeA",0
"no NaCl","m9p_ma1_2","maeA",0
"no NaCl","m9p_ma1_3","maeA",0
"no NaCl","m9p_ma1_1","mdtC",0
"no NaCl","m9p_ma1_2","mdtC",0
"no NaCl","m9p_ma1_3","mdtC",0
"no NaCl","m9p_ma1_1","mfd",0
"no NaCl","m9p_ma1_2","mfd",0
"no NaCl","m9p_ma1_3","mfd",0
"no NaCl","m9p_ma1_1","minC",0
"no NaCl","m9p_ma1_2","minC",0
"no NaCl","m9p_ma1_3","minC",0
"no NaCl","m9p_ma1_1","mnmG",0
"no NaCl","m9p_ma1_2","mnmG",0
"no NaCl","m9p_ma1_3","mnmG",0
"no NaCl","m9p_ma1_1","mrcA",0
"no NaCl","m9p_ma1_2","mrcA",0
"no NaCl","m9p_ma1_3","mrcA",0
"no NaCl","m9p_ma1_1","mrdA",1
"no NaCl","m9p_ma1_2","mrdA",0
"no NaCl","m9p_ma1_3","mrdA",0
"no NaCl","m9p_ma1_1","msrB",0
"no NaCl","m9p_ma1_1","msrB",0
"no NaCl","m9p_ma1_2","msrB",0
"no NaCl","m9p_ma1_2","msrB",0
"no NaCl","m9p_ma1_3","msrB",0
"no NaCl","m9p_ma1_3","msrB",0
"no NaCl","m9p_ma1_1","murF",0
"no NaCl","m9p_ma1_2","murF",0
"no NaCl","m9p_ma1_3","murF",0
"no NaCl","m9p_ma1_1","mutL",0
"no NaCl","m9p_ma1_2","mutL",0
"no NaCl","m9p_ma1_3","mutL",0
"no NaCl","m9p_ma1_1","mutS",0
"no NaCl","m9p_ma1_1","mutS",0
"no NaCl","m9p_ma1_1","mutS",0
"no NaCl","m9p_ma1_1","mutS",0
"no NaCl","m9p_ma1_1","mutS",0
"no NaCl","m9p_ma1_1","mutS",0
"no NaCl","m9p_ma1_1","mutS",0
"no NaCl","m9p_ma1_1","mutS",0
"no NaCl","m9p_ma1_2","mutS",0
"no NaCl","m9p_ma1_2","mutS",0
"no NaCl","m9p_ma1_2","mutS",0
"no NaCl","m9p_ma1_2","mutS",0
"no NaCl","m9p_ma1_2","mutS",0
"no NaCl","m9p_ma1_2","mutS",0
"no NaCl","m9p_ma1_2","mutS",0
"no NaCl","m9p_ma1_2","mutS",0
"no NaCl","m9p_ma1_3","mutS",0
"no NaCl","m9p_ma1_3","mutS",0
"no NaCl","m9p_ma1_3","mutS",0
"no NaCl","m9p_ma1_3","mutS",0
"no NaCl","m9p_ma1_3","mutS",0
"no NaCl","m9p_ma1_3","mutS",0
"no NaCl","m9p_ma1_3","mutS",0
"no NaCl","m9p_ma1_3","mutS",0
"no NaCl","m9p_ma1_1","nagA",0
"no NaCl","m9p_ma1_2","nagA",0
"no NaCl","m9p_ma1_3","nagA",0
"no NaCl","m9p_ma1_1","narG",0
"no NaCl","m9p_ma1_2","narG",0
"no NaCl","m9p_ma1_3","narG",0
"no NaCl","m9p_ma1_1","nlpD",0
"no NaCl","m9p_ma1_2","nlpD",0
"no NaCl","m9p_ma1_3","nlpD",0
"no NaCl","m9p_ma1_1","nrfA",0
"no NaCl","m9p_ma1_2","nrfA",0
"no NaCl","m9p_ma1_3","nrfA",0
"no NaCl","m9p_ma1_1","nuoG",0
"no NaCl","m9p_ma1_2","nuoG",0
"no NaCl","m9p_ma1_3","nuoG",0
"no NaCl","m9p_ma1_1","nusA",0
"no NaCl","m9p_ma1_2","nusA",0
"no NaCl","m9p_ma1_3","nusA",0
"no NaCl","m9p_ma1_1","ompA",0
"no NaCl","m9p_ma1_2","ompA",0
"no NaCl","m9p_ma1_3","ompA",0
"no NaCl","m9p_ma1_1","ompT",0
"no NaCl","m9p_ma1_2","ompT",0
"no NaCl","m9p_ma1_3","ompT",0
"no NaCl","m9p_ma1_1","opgH",0
"no NaCl","m9p_ma1_2","opgH",0
"no NaCl","m9p_ma1_3","opgH",0
"no NaCl","m9p_ma1_1","pdhR",0
"no NaCl","m9p_ma1_2","pdhR",0
"no NaCl","m9p_ma1_3","pdhR",0
"no NaCl","m9p_ma1_1","pflC",0
