"population","gene","prop"
4,"rpoC","day_50"
4,"rpoC","day_50"
4,"rpoC","day_50"
4,"rpoC","day_50"
6,"rpoC","day_50"
6,"rpoC","day_50"
6,"rpoC","day_50"
6,"rpoC","day_50"
3,"rsxC","day_50"
3,"rsxC","day_50"
3,"rsxC","day_50"
4,"rsxC","day_50"
4,"rsxC","day_50"
4,"rsxC","day_50"
6,"rsxC","day_50"
6,"rsxC","day_50"
6,"rsxC","day_50"
3,"srmB","day_50"
3,"srmB","day_50"
3,"srmB","day_50"
4,"srmB","day_50"
4,"srmB","day_50"
4,"srmB","day_50"
6,"srmB","day_50"
6,"srmB","day_50"
6,"srmB","day_50"
3,"sufB","day_50"
3,"sufB","day_50"
4,"sufB","day_50"
4,"sufB","day_50"
6,"sufB","day_50"
6,"sufB","day_50"
3,"sufC","day_50"
4,"sufC","day_50"
6,"sufC","day_50"
3,"topA","day_50"
3,"topA","day_50"
3,"topA","day_50"
4,"topA","day_50"
4,"topA","day_50"
4,"topA","day_50"
6,"topA","day_50"
6,"topA","day_50"
6,"topA","day_50"
3,"yaiS","day_50"
4,"yaiS","day_50"
6,"yaiS","day_50"
3,"ydbA","day_50"
3,"ydbA","day_50"
3,"ydbA","day_50"
3,"ydbA","day_50"
3,"ydbA","day_50"
4,"ydbA","day_50"
4,"ydbA","day_50"
4,"ydbA","day_50"
4,"ydbA","day_50"
4,"ydbA","day_50"
6,"ydbA","day_50"
6,"ydbA","day_50"
6,"ydbA","day_50"
6,"ydbA","day_50"
6,"ydbA","day_50"
3,"yeeJ","day_50"
3,"yeeJ","day_50"
3,"yeeJ","day_50"
3,"yeeJ","day_50"
3,"yeeJ","day_50"
4,"yeeJ","day_50"
4,"yeeJ","day_50"
4,"yeeJ","day_50"
4,"yeeJ","day_50"
4,"yeeJ","day_50"
6,"yeeJ","day_50"
6,"yeeJ","day_50"
6,"yeeJ","day_50"
6,"yeeJ","day_50"
6,"yeeJ","day_50"
3,"yeeR","day_50"
3,"yeeR","day_50"
3,"yeeR","day_50"
4,"yeeR","day_50"
4,"yeeR","day_50"
4,"yeeR","day_50"
6,"yeeR","day_50"
6,"yeeR","day_50"
6,"yeeR","day_50"
3,"yehH","day_50"
3,"yehH","day_50"
3,"yehH","day_50"
3,"yehH","day_50"
4,"yehH","day_50"
4,"yehH","day_50"
4,"yehH","day_50"
4,"yehH","day_50"
6,"yehH","day_50"
6,"yehH","day_50"
6,"yehH","day_50"
6,"yehH","day_50"
3,"ygcB","day_50"
4,"ygcB","day_50"
6,"ygcB","day_50"
3,"ypaA","day_50"
4,"ypaA","day_50"
6,"ypaA","day_50"
