gene,population,frequency
ATP synthase beta chain EC 36314,BHI5,1
Peptidase B EC 341123,BHI5,1
Glycerol dehydrogenase EC 1116,BHI5,1
ATP synthase delta chain EC 36314,BHI5,1
Methionine aminopeptidase EC 341118,BHI5,1
Cytoplasmic protein YaiB,BHI5,1
Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex EC 1814  Dihydrolipoamide dehydrogenase EC 1814,BHI5,1
FIG00637942 hypothetical protein,BHI5,1
Dihydrodipicolinate reductase EC 13126,BHI5,1
Succinate dehydrogenase flavoprotein subunit EC 13991,BHI5,1
Universal stress protein G,BHI5,1
Nucleoside diphosphate kinase EC 2746,BHI5,1
Aminomethyltransferase glycine cleavage system T protein EC 21210,BHI5,1
Glutamine synthetase type I EC 6312,BHI5,1
Isocitrate lyase EC 4131,BHI5,1
Glutamate Aspartate periplasmic binding protein precursor GltI TC 3A134,BHI5,1
ATP synthase gamma chain EC 36314,BHI5,1
Methylglyoxal synthase EC 4233,BHI5,1
Malate dehydrogenase EC 11137,BHI5,1
FIG00638561 hypothetical protein,BHI5,1
Tryptophanase EC 41991,BHI5,1
Galactonate dehydratase EC 4216,BHI5,1
Outer membrane protein W precursor,BHI5,1
Protein ygiW precursor,BHI6,1
Osmotically inducible protein OsmY,BHI6,1
Chaperone HdeB,BHI6,1
Chaperone HdeA,BHI6,1
FIG00638941 hypothetical protein,BHI6,1
Glutamate decarboxylase EC 41115,BHI6,0
UPF0337 protein yjbJ,BHI6,1
FIG00638559 hypothetical protein,BHI6,1
FIG00639237 hypothetical protein,BHI6,1
Bacterioferritin Ecolicontig0004136524128Bacterioferritin,BHI6,1
FIG00638813 hypothetical protein,BHI6,1
FIG00638953 hypothetical protein,BHI6,1
Chaperone protein hchA,BHI6,1
Osmotically inducible lipoprotein E precursor,BHI6,1
Putative cytoplasmic protein,BHI6,1
Osmotically inducible protein C,BHI6,1
Uncharacterized membrane protein YqjD,BHI6,1
Glutaredoxin 2,BHI6,1
hypothetical protein,BHI6,1
Phosphopentomutase EC 5427,BHI6,1
Glutathione peroxidase EC 11119,BHI6,1
Protein of unknown function DUF541,BHI6,1
Nicotinamidase family protein YcaC,BHI6,1
Glutaredoxin 3 Grx3,BHI6,1
probable lipoprotein,BHI6,1
FIG00639395 hypothetical protein,BHI6,1
Chaperone protein DnaK,BHI6,1
hypothetical protein,BHI6,1
YciO family,BHI6,1
Agmatinase EC 35311,BHI6,1
Outer membrane protein A precursor,BHI6,1
Putative cytoplasmic protein,BHI6,1
Aerobic respiration control protein arcA,BHI6,1
Integration host factor alpha subunit,BHI6,1
FIG002060 uncharacterized protein YggL,BHI6,1
FIG001943 hypothetical protein YajQ,BHI6,1
Peptide deformylase EC 35188,BHI6,1
Protein yciN,BHI6,1
Carbon storage regulator,BHI6,1
Thioredoxin reductase EC 1819,BHI6,1
Cytidine deaminase EC 3545,BHI6,1
Cysteine synthase EC 25147,BHI6,1
Cell division topological specificity factor MinE,BHI6,1
Transcriptional regulator SlyA,BHI6,1
Phosphoglucomutase EC 5422,BHI6,1
Adenylosuccinate synthetase EC 6344,BHI6,1
Universal stress protein E,BHI6,1
Serine hydroxymethyltransferase EC 2121,BHI6,1
Aspartate carbamoyltransferase regulatory chain PyrI,BHI6,1
Acetate kinase EC 2721,BHI6,1
Putative ACR protein,BHI6,1
Pyruvate kinase EC 27140,BHI6,1
Universal stress protein F,BHI6,1
Universal stress protein A,BHI6,1
ATP synthase beta chain EC 36314,BHI6,1
Peptidase B EC 341123,BHI6,1
Glycerol dehydrogenase EC 1116,BHI6,1
ATP synthase delta chain EC 36314,BHI6,1
Methionine aminopeptidase EC 341118,BHI6,1
Cytoplasmic protein YaiB,BHI6,1
Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex EC 1814  Dihydrolipoamide dehydrogenase EC 1814,BHI6,1
FIG00637942 hypothetical protein,BHI6,1
Dihydrodipicolinate reductase EC 13126,BHI6,1
Succinate dehydrogenase flavoprotein subunit EC 13991,BHI6,1
Universal stress protein G,BHI6,1
Nucleoside diphosphate kinase EC 2746,BHI6,1
Aminomethyltransferase glycine cleavage system T protein EC 21210,BHI6,1
Glutamine synthetase type I EC 6312,BHI6,1
Isocitrate lyase EC 4131,BHI6,1
Glutamate Aspartate periplasmic binding protein precursor GltI TC 3A134,BHI6,1
ATP synthase gamma chain EC 36314,BHI6,1
Methylglyoxal synthase EC 4233,BHI6,1
Malate dehydrogenase EC 11137,BHI6,1
FIG00638561 hypothetical protein,BHI6,1
Tryptophanase EC 41991,BHI6,1
Galactonate dehydratase EC 4216,BHI6,1
Outer membrane protein W precursor,BHI6,1
Protein ygiW precursor,BHI7,0
Osmotically inducible protein OsmY,BHI7,0
Chaperone HdeB,BHI7,1
Chaperone HdeA,BHI7,1
FIG00638941 hypothetical protein,BHI7,1
Glutamate decarboxylase EC 41115,BHI7,1
UPF0337 protein yjbJ,BHI7,0
FIG00638559 hypothetical protein,BHI7,0
FIG00639237 hypothetical protein,BHI7,0
Bacterioferritin Ecolicontig0004136524128Bacterioferritin,BHI7,0
FIG00638813 hypothetical protein,BHI7,0
FIG00638953 hypothetical protein,BHI7,0
Chaperone protein hchA,BHI7,1
Osmotically inducible lipoprotein E precursor,BHI7,1
Putative cytoplasmic protein,BHI7,1
Osmotically inducible protein C,BHI7,1
Uncharacterized membrane protein YqjD,BHI7,1
Glutaredoxin 2,BHI7,1
hypothetical protein,BHI7,1
Phosphopentomutase EC 5427,BHI7,1
Glutathione peroxidase EC 11119,BHI7,1
Protein of unknown function DUF541,BHI7,1
Nicotinamidase family protein YcaC,BHI7,0
Glutaredoxin 3 Grx3,BHI7,1
probable lipoprotein,BHI7,1
FIG00639395 hypothetical protein,BHI7,1
Chaperone protein DnaK,BHI7,1
hypothetical protein,BHI7,1
YciO family,BHI7,1
Agmatinase EC 35311,BHI7,1
Outer membrane protein A precursor,BHI7,1
Putative cytoplasmic protein,BHI7,1
Aerobic respiration control protein arcA,BHI7,1
Integration host factor alpha subunit,BHI7,1
FIG002060 uncharacterized protein YggL,BHI7,1
FIG001943 hypothetical protein YajQ,BHI7,1
Peptide deformylase EC 35188,BHI7,1
Protein yciN,BHI7,1
Carbon storage regulator,BHI7,1
Thioredoxin reductase EC 1819,BHI7,1
Cytidine deaminase EC 3545,BHI7,1
Cysteine synthase EC 25147,BHI7,1
Cell division topological specificity factor MinE,BHI7,1
Transcriptional regulator SlyA,BHI7,1
Phosphoglucomutase EC 5422,BHI7,1
Adenylosuccinate synthetase EC 6344,BHI7,1
Universal stress protein E,BHI7,1
Serine hydroxymethyltransferase EC 2121,BHI7,1
Aspartate carbamoyltransferase regulatory chain PyrI,BHI7,1
Acetate kinase EC 2721,BHI7,1
Putative ACR protein,BHI7,1
Pyruvate kinase EC 27140,BHI7,1
Universal stress protein F,BHI7,1
Universal stress protein A,BHI7,1
ATP synthase beta chain EC 36314,BHI7,1
Peptidase B EC 341123,BHI7,1
Glycerol dehydrogenase EC 1116,BHI7,1
ATP synthase delta chain EC 36314,BHI7,1
Methionine aminopeptidase EC 341118,BHI7,1
Cytoplasmic protein YaiB,BHI7,1
Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex EC 1814  Dihydrolipoamide dehydrogenase EC 1814,BHI7,1
FIG00637942 hypothetical protein,BHI7,1
Dihydrodipicolinate reductase EC 13126,BHI7,1
Succinate dehydrogenase flavoprotein subunit EC 13991,BHI7,1
Universal stress protein G,BHI7,1
Nucleoside diphosphate kinase EC 2746,BHI7,1
Aminomethyltransferase glycine cleavage system T protein EC 21210,BHI7,1
Glutamine synthetase type I EC 6312,BHI7,1
Isocitrate lyase EC 4131,BHI7,1
Glutamate Aspartate periplasmic binding protein precursor GltI TC 3A134,BHI7,1
ATP synthase gamma chain EC 36314,BHI7,1
Methylglyoxal synthase EC 4233,BHI7,1
Malate dehydrogenase EC 11137,BHI7,1
FIG00638561 hypothetical protein,BHI7,1
Tryptophanase EC 41991,BHI7,1
Galactonate dehydratase EC 4216,BHI7,1
Outer membrane protein W precursor,BHI7,1
Ecolicontig00001211037211429,BHI8,1
Ecolicontig000453512735732,BHI8,1
Ecolicontig000442962929967,BHI8,1
Ecolicontig000443007130403,BHI8,1
Ecolicontig000152550525948,BHI8,1
Ecolicontig0002256256146,BHI8,1
Ecolicontig000552109321542,BHI8,1
Ecolicontig000505901990,BHI8,1
Ecolicontig000232228622495,BHI8,1
Ecolicontig000223919640200,BHI8,1
Ecolicontig00002143000143332,BHI8,1
Ecolicontig00003202553202828,BHI8,1
Ecolicontig0004136524128,BHI8,1
Ecolicontig000143111831516,BHI8,0
Ecolicontig000037610776679,BHI8,0
Ecolicontig000063182032260,BHI8,0
Ecolicontig0005964287279,BHI8,1
Ecolicontig00008108643108981,BHI8,1
Ecolicontig000371611216339,BHI8,1
Ecolicontig000262354823979,BHI8,1
Ecolicontig00001126901127206,BHI8,1
Ecolicontig000122589826545,BHI8,1
Ecolicontig000102696427467,BHI8,1
Ecolicontig0006985366,BHI8,1
Ecolicontig000293253433202,BHI8,1
Ecolicontig0004052046427,BHI8,1
Ecolicontig00008136790137341,BHI8,1
Ecolicontig000172132822068,BHI8,1
Ecolicontig0009113402665,BHI8,1
Ecolicontig000108170182432,BHI8,1
Ecolicontig00001223263224090,BHI8,1
Ecolicontig0008733503976,BHI8,1
Ecolicontig000182492625177,BHI8,1
Ecolicontig000361711218107,BHI8,1
Ecolicontig0005530423557,BHI8,1
Ecolicontig000108339683911,BHI8,1
Ecolicontig0002893399539,BHI8,1
Ecolicontig000403833940255,BHI8,1
Ecolicontig000221524515592,BHI8,1
Ecolicontig000701074411364,BHI8,1
Ecolicontig000173686537785,BHI8,1
Ecolicontig000191409114573,BHI8,1
Ecolicontig000392991430978,BHI8,1
Ecolicontig000181060010809,BHI8,1
Ecolicontig000392163222045,BHI8,1
Ecolicontig000185964759922,BHI8,1
Ecolicontig000581975220045,BHI8,1
Ecolicontig000402411424830,BHI8,1
Ecolicontig00008135347135646,BHI8,1
Ecolicontig000041051111020,BHI8,1
Ecolicontig000175580756133,BHI8,1
Ecolicontig00004124412124747,BHI8,1
Ecolicontig00003106892107383,BHI8,1
Ecolicontig000413617936688,BHI8,1
Ecolicontig000551938419788,BHI8,1
Ecolicontig0007642764527,BHI8,1
Ecolicontig00006129169129741,BHI8,1
Ecolicontig00021674859,BHI8,1
Ecolicontig00010110642111607,BHI8,1
Ecolicontig000027047871362,BHI8,1
Ecolicontig000125124852201,BHI8,1
Ecolicontig0000470868057,BHI8,1
Ecolicontig000462088321671,BHI8,1
Ecolicontig0001314382079,BHI8,1
Ecolicontig000401343415101,BHI8,1
Ecolicontig0007952255491,BHI8,1
Ecolicontig0002218822316,BHI8,1
Ecolicontig0006791969813,BHI8,1
Ecolicontig00007128045128839,BHI8,1
Ecolicontig000116579467014,BHI8,1
Ecolicontig000221686917450,BHI8,1
Ecolicontig000102581426560,BHI8,1
Ecolicontig000491650018140,BHI8,1
Ecolicontig000099295694254,BHI8,1
Ecolicontig000254474245692,BHI8,1
Ecolicontig00001224195225358,BHI8,1
Ecolicontig000433001154,BHI8,1
Ecolicontig0007944095221,BHI8,1
Ecolicontig000117963680418,BHI8,1
Ecolicontig00006107825108829,BHI8,1
Ecolicontig00004151826153079,BHI8,1
Ecolicontig000092098521446,BHI8,1
Ecolicontig00008122244123104,BHI8,1
Ecolicontig000182599527539,BHI8,1
Ecolicontig0005153485926,BHI8,1
Ecolicontig000046464665359,BHI8,1
Ecolicontig000119275593957,BHI8,1
Ecolicontig000621310813461,BHI8,1
Ecolicontig000093302034372,BHI8,1
Ecolicontig0001369728414,BHI8,1
Ecolicontig000253080531239,BHI8,1
Ecolicontig000403548236069,BHI8,1
Ecolicontig000125315953893,BHI8,1
Ecolicontig000125442855669,BHI8,1
Ecolicontig000241283414465,BHI8,1
Ecolicontig000441497115405,BHI8,1
Ecolicontig000542680628095,BHI8,1
Ecolicontig000147005371435,BHI8,1
Ecolicontig00004122859124142,BHI8,1
Ecolicontig000165448455587,BHI8,1
Ecolicontig000011676817421,BHI8,1
Ecolicontig000147393074463,BHI8,1
Ecolicontig000283395834752,BHI8,1
Ecolicontig000115895959891,BHI8,1
Ecolicontig000342803428750,BHI8,1
Ecolicontig00003120053120937,BHI8,1
Ecolicontig000925011916,BHI8,1
Ecolicontig000088289183934,BHI8,1
Ecolicontig00003150419150679,BHI8,1
Ecolicontig000183209033286,BHI8,1
Ecolicontig000016646966972,BHI8,0
Ecolicontig00010118981120273,BHI8,1
Ecolicontig000542810729696,BHI8,1
Ecolicontig000149033891228,BHI8,1
Ecolicontig00007107118108575,BHI8,1
Ecolicontig000195008550648,BHI8,1
Ecolicontig000135959760262,BHI8,1
Ecolicontig0000788879708,BHI8,1
Ecolicontig000283751738341,BHI8,1
Ecolicontig000342625228018,BHI8,1
Ecolicontig00085296901,BHI8,1
Ecolicontig000194772648154,BHI8,1
Ecolicontig00004112217112648,BHI8,1
Ecolicontig0001735624656,BHI8,1
Ecolicontig000343335034516,BHI8,1
Ecolicontig000071016411312,BHI8,1
Ecolicontig000422244523854,BHI8,1
Ecolicontig000342895131752,BHI8,1
Ecolicontig000661181812471,BHI8,1
Ecolicontig00007110932113451,BHI8,1
Ecolicontig000165038752567,BHI8,1
Ecolicontig000236281864122,BHI8,1
Ecolicontig000026285863856,BHI8,1
Ecolicontig000235160452293,BHI8,1
Ecolicontig00019978110689,BHI8,1
Ecolicontig000051906920244,BHI8,1
Ecolicontig000147146272325,BHI8,1
Ecolicontig000135735957856,BHI8,1
Ecolicontig000392297623434,BHI8,1
Ecolicontig000371483316074,BHI8,1
Ecolicontig000274966850606,BHI8,1
Ecolicontig000343451635385,BHI8,1
Ecolicontig0006756966628,BHI8,1
Ecolicontig000343176732984,BHI8,1
Ecolicontig000082765728628,BHI8,1
Ecolicontig000197710079340,BHI8,1
Ecolicontig000217022071932,BHI8,1
Ecolicontig000068707588697,BHI8,1
Ecolicontig000295335854419,BHI8,1
Ecolicontig000196104361900,BHI8,1
Ecolicontig000144278144196,BHI8,1
Ecolicontig0001544186064,BHI8,1
Ecolicontig000044383946118,BHI8,1
Ecolicontig000118063981421,BHI8,1
Ecolicontig000174069441848,BHI8,1
Ecolicontig000064354744650,BHI8,1
Ecolicontig000432020521623,BHI8,1
Ecolicontig000129634497594,BHI8,1
Ecolicontig000182060621796,BHI8,1
Ecolicontig000175368254728,BHI8,1
Ecolicontig0006780519199,BHI8,1
Ecolicontig000204490245978,BHI8,1
Ecolicontig000041836319154,BHI8,1
Ecolicontig000233531336503,BHI8,1
Ecolicontig000706661304,BHI8,1
Ecolicontig000052044322089,BHI8,1
Ecolicontig00001211037211429,BHI9,1
Ecolicontig000453512735732,BHI9,1
Ecolicontig000442962929967,BHI9,1
Ecolicontig000443007130403,BHI9,1
Ecolicontig000152550525948,BHI9,1
Ecolicontig0002256256146,BHI9,1
Ecolicontig000552109321542,BHI9,1
Ecolicontig000505901990,BHI9,1
Ecolicontig000232228622495,BHI9,1
Ecolicontig000223919640200,BHI9,1
Ecolicontig00002143000143332,BHI9,1
Ecolicontig00003202553202828,BHI9,1
Ecolicontig0004136524128,BHI9,1
Ecolicontig000143111831516,BHI9,0
Ecolicontig000037610776679,BHI9,1
Ecolicontig000063182032260,BHI9,1
Ecolicontig0005964287279,BHI9,1
Ecolicontig00008108643108981,BHI9,1
Ecolicontig000371611216339,BHI9,1
Ecolicontig000262354823979,BHI9,1
Ecolicontig00001126901127206,BHI9,1
Ecolicontig000122589826545,BHI9,1
Ecolicontig000102696427467,BHI9,1
Ecolicontig0006985366,BHI9,1
Ecolicontig000293253433202,BHI9,1
Ecolicontig0004052046427,BHI9,1
Ecolicontig00008136790137341,BHI9,1
Ecolicontig000172132822068,BHI9,1
Ecolicontig0009113402665,BHI9,1
Ecolicontig000108170182432,BHI9,1
Ecolicontig00001223263224090,BHI9,1
Ecolicontig0008733503976,BHI9,1
Ecolicontig000182492625177,BHI9,1
Ecolicontig000361711218107,BHI9,1
Ecolicontig0005530423557,BHI9,1
Ecolicontig000108339683911,BHI9,1
Ecolicontig0002893399539,BHI9,1
Ecolicontig000403833940255,BHI9,1
Ecolicontig000221524515592,BHI9,1
Ecolicontig000701074411364,BHI9,1
Ecolicontig000173686537785,BHI9,1
Ecolicontig000191409114573,BHI9,1
Ecolicontig000392991430978,BHI9,1
Ecolicontig000181060010809,BHI9,1
Ecolicontig000392163222045,BHI9,1
Ecolicontig000185964759922,BHI9,1
Ecolicontig000581975220045,BHI9,1
Ecolicontig000402411424830,BHI9,1
Ecolicontig00008135347135646,BHI9,1
Ecolicontig000041051111020,BHI9,1
Ecolicontig000175580756133,BHI9,1
Ecolicontig00004124412124747,BHI9,1
Ecolicontig00003106892107383,BHI9,1
Ecolicontig000413617936688,BHI9,1
Ecolicontig000551938419788,BHI9,1
Ecolicontig0007642764527,BHI9,1
Ecolicontig00006129169129741,BHI9,1
Ecolicontig00021674859,BHI9,1
Ecolicontig00010110642111607,BHI9,1
Ecolicontig000027047871362,BHI9,1
Ecolicontig000125124852201,BHI9,1
Ecolicontig0000470868057,BHI9,1
Ecolicontig000462088321671,BHI9,1
Ecolicontig0001314382079,BHI9,1
Ecolicontig000401343415101,BHI9,1
Ecolicontig0007952255491,BHI9,1
Ecolicontig0002218822316,BHI9,1
Ecolicontig0006791969813,BHI9,1
Ecolicontig00007128045128839,BHI9,1
Ecolicontig000116579467014,BHI9,1
Ecolicontig000221686917450,BHI9,1
Ecolicontig000102581426560,BHI9,1
Ecolicontig000491650018140,BHI9,1
Ecolicontig000099295694254,BHI9,1
Ecolicontig000254474245692,BHI9,1
Ecolicontig00001224195225358,BHI9,1
Ecolicontig000433001154,BHI9,1
Ecolicontig0007944095221,BHI9,1
Ecolicontig000117963680418,BHI9,1
Ecolicontig00006107825108829,BHI9,1
Ecolicontig00004151826153079,BHI9,1
Ecolicontig000092098521446,BHI9,1
Ecolicontig00008122244123104,BHI9,1
Ecolicontig000182599527539,BHI9,1
Ecolicontig0005153485926,BHI9,1
Ecolicontig000046464665359,BHI9,1
Ecolicontig000119275593957,BHI9,1
Ecolicontig000621310813461,BHI9,1
Ecolicontig000093302034372,BHI9,1
Ecolicontig0001369728414,BHI9,1
Ecolicontig000253080531239,BHI9,1
Ecolicontig000403548236069,BHI9,1
Ecolicontig000125315953893,BHI9,1
Ecolicontig000125442855669,BHI9,1
Ecolicontig000241283414465,BHI9,1
Ecolicontig000441497115405,BHI9,1
Ecolicontig000542680628095,BHI9,1
Ecolicontig000147005371435,BHI9,1
Ecolicontig00004122859124142,BHI9,1
Ecolicontig000165448455587,BHI9,1
Ecolicontig000011676817421,BHI9,1
Ecolicontig000147393074463,BHI9,1
Ecolicontig000283395834752,BHI9,1
Ecolicontig000115895959891,BHI9,1
Ecolicontig000342803428750,BHI9,1
Ecolicontig00003120053120937,BHI9,1
Ecolicontig000925011916,BHI9,1
Ecolicontig000088289183934,BHI9,1
Ecolicontig00003150419150679,BHI9,1
Ecolicontig000183209033286,BHI9,1
Ecolicontig000016646966972,BHI9,1
Ecolicontig00010118981120273,BHI9,1
Ecolicontig000542810729696,BHI9,1
Ecolicontig000149033891228,BHI9,1
Ecolicontig00007107118108575,BHI9,1
Ecolicontig000195008550648,BHI9,1
Ecolicontig000135959760262,BHI9,1
Ecolicontig0000788879708,BHI9,1
Ecolicontig000283751738341,BHI9,1
Ecolicontig000342625228018,BHI9,1
Ecolicontig00085296901,BHI9,1
Ecolicontig000194772648154,BHI9,1
Ecolicontig00004112217112648,BHI9,1
Ecolicontig0001735624656,BHI9,1
Ecolicontig000343335034516,BHI9,1
Ecolicontig000071016411312,BHI9,1
Ecolicontig000422244523854,BHI9,1
Ecolicontig000342895131752,BHI9,1
Ecolicontig000661181812471,BHI9,1
Ecolicontig00007110932113451,BHI9,1
Ecolicontig000165038752567,BHI9,1
Ecolicontig000236281864122,BHI9,1
Ecolicontig000026285863856,BHI9,1
Ecolicontig000235160452293,BHI9,1
Ecolicontig00019978110689,BHI9,1
Ecolicontig000051906920244,BHI9,1
Ecolicontig000147146272325,BHI9,1
Ecolicontig000135735957856,BHI9,1
Ecolicontig000392297623434,BHI9,1
Ecolicontig000371483316074,BHI9,1
Ecolicontig000274966850606,BHI9,1
Ecolicontig000343451635385,BHI9,1
Ecolicontig0006756966628,BHI9,1
Ecolicontig000343176732984,BHI9,1
Ecolicontig000082765728628,BHI9,1
Ecolicontig000197710079340,BHI9,1
Ecolicontig000217022071932,BHI9,1
Ecolicontig000068707588697,BHI9,1
Ecolicontig000295335854419,BHI9,1
Ecolicontig000196104361900,BHI9,1
Ecolicontig000144278144196,BHI9,1
Ecolicontig0001544186064,BHI9,1
Ecolicontig000044383946118,BHI9,1
Ecolicontig000118063981421,BHI9,1
Ecolicontig000174069441848,BHI9,1
Ecolicontig000064354744650,BHI9,1
Ecolicontig000432020521623,BHI9,1
Ecolicontig000129634497594,BHI9,1
Ecolicontig000182060621796,BHI9,1
Ecolicontig000175368254728,BHI9,1
Ecolicontig0006780519199,BHI9,1
Ecolicontig000204490245978,BHI9,1
Ecolicontig000041836319154,BHI9,1
Ecolicontig000233531336503,BHI9,1
Ecolicontig000706661304,BHI9,1
Ecolicontig000052044322089,BHI9,1
Ecolicontig00001211037211429,BHI10,1
Ecolicontig000453512735732,BHI10,1
Ecolicontig000442962929967,BHI10,1
Ecolicontig000443007130403,BHI10,1
Ecolicontig000152550525948,BHI10,1
Ecolicontig0002256256146,BHI10,1
Ecolicontig000552109321542,BHI10,1
Ecolicontig000505901990,BHI10,1
Ecolicontig000232228622495,BHI10,1
Ecolicontig000223919640200,BHI10,1
Ecolicontig00002143000143332,BHI10,1
Ecolicontig00003202553202828,BHI10,1
Ecolicontig0004136524128,BHI10,1
Ecolicontig000143111831516,BHI10,1
Ecolicontig000037610776679,BHI10,1
Ecolicontig000063182032260,BHI10,1
Ecolicontig0005964287279,BHI10,1
Ecolicontig00008108643108981,BHI10,1
Ecolicontig000371611216339,BHI10,1
Ecolicontig000262354823979,BHI10,1
Ecolicontig00001126901127206,BHI10,1
Ecolicontig000122589826545,BHI10,1
Ecolicontig000102696427467,BHI10,1
Ecolicontig0006985366,BHI10,1
Ecolicontig000293253433202,BHI10,1
Ecolicontig0004052046427,BHI10,1
Ecolicontig00008136790137341,BHI10,1
Ecolicontig000172132822068,BHI10,1
Ecolicontig0009113402665,BHI10,1
Ecolicontig000108170182432,BHI10,1
Ecolicontig00001223263224090,BHI10,1
Ecolicontig0008733503976,BHI10,1
Ecolicontig000182492625177,BHI10,1
Ecolicontig000361711218107,BHI10,1
Ecolicontig0005530423557,BHI10,1
Ecolicontig000108339683911,BHI10,1
Ecolicontig0002893399539,BHI10,1
Ecolicontig000403833940255,BHI10,1
Ecolicontig000221524515592,BHI10,1
Ecolicontig000701074411364,BHI10,1
Ecolicontig000173686537785,BHI10,1
Ecolicontig000191409114573,BHI10,1
Ecolicontig000392991430978,BHI10,1
Ecolicontig000181060010809,BHI10,1
Ecolicontig000392163222045,BHI10,1
Ecolicontig000185964759922,BHI10,1
Ecolicontig000581975220045,BHI10,1
Ecolicontig000402411424830,BHI10,1
Ecolicontig00008135347135646,BHI10,1
Ecolicontig000041051111020,BHI10,1
Ecolicontig000175580756133,BHI10,1
Ecolicontig00004124412124747,BHI10,1
Ecolicontig00003106892107383,BHI10,1
Ecolicontig000413617936688,BHI10,1
Ecolicontig000551938419788,BHI10,1
Ecolicontig0007642764527,BHI10,1
Ecolicontig00006129169129741,BHI10,1
Ecolicontig00021674859,BHI10,1
Ecolicontig00010110642111607,BHI10,1
Ecolicontig000027047871362,BHI10,1
Ecolicontig000125124852201,BHI10,1
Ecolicontig0000470868057,BHI10,1
Ecolicontig000462088321671,BHI10,1
Ecolicontig0001314382079,BHI10,1
Ecolicontig000401343415101,BHI10,1
Ecolicontig0007952255491,BHI10,1
Ecolicontig0002218822316,BHI10,1
Ecolicontig0006791969813,BHI10,1
Ecolicontig00007128045128839,BHI10,1
Ecolicontig000116579467014,BHI10,1
Ecolicontig000221686917450,BHI10,1
Ecolicontig000102581426560,BHI10,1
Ecolicontig000491650018140,BHI10,1
Ecolicontig000099295694254,BHI10,1
Ecolicontig000254474245692,BHI10,1
Ecolicontig00001224195225358,BHI10,0
Ecolicontig000433001154,BHI10,1
Ecolicontig0007944095221,BHI10,1
Ecolicontig000117963680418,BHI10,1
Ecolicontig00006107825108829,BHI10,1
Ecolicontig00004151826153079,BHI10,1
Ecolicontig000092098521446,BHI10,1
Ecolicontig00008122244123104,BHI10,1
Ecolicontig000182599527539,BHI10,1
Ecolicontig0005153485926,BHI10,1
Ecolicontig000046464665359,BHI10,1
Ecolicontig000119275593957,BHI10,1
Ecolicontig000621310813461,BHI10,1
Ecolicontig000093302034372,BHI10,1
Ecolicontig0001369728414,BHI10,1
Ecolicontig000253080531239,BHI10,1
Ecolicontig000403548236069,BHI10,1
Ecolicontig000125315953893,BHI10,1
Ecolicontig000125442855669,BHI10,1
Ecolicontig000241283414465,BHI10,1
Ecolicontig000441497115405,BHI10,1
Ecolicontig000542680628095,BHI10,1
Ecolicontig000147005371435,BHI10,1
Ecolicontig00004122859124142,BHI10,1
Ecolicontig000165448455587,BHI10,1
Ecolicontig000011676817421,BHI10,1
Ecolicontig000147393074463,BHI10,1
Ecolicontig000283395834752,BHI10,1
Ecolicontig000115895959891,BHI10,1
Ecolicontig000342803428750,BHI10,1
Ecolicontig00003120053120937,BHI10,1
Ecolicontig000925011916,BHI10,1
Ecolicontig000088289183934,BHI10,1
Ecolicontig00003150419150679,BHI10,1
Ecolicontig000183209033286,BHI10,1
Ecolicontig000016646966972,BHI10,1
Ecolicontig00010118981120273,BHI10,1
Ecolicontig000542810729696,BHI10,1
Ecolicontig000149033891228,BHI10,1
Ecolicontig00007107118108575,BHI10,1
Ecolicontig000195008550648,BHI10,1
Ecolicontig000135959760262,BHI10,1
Ecolicontig0000788879708,BHI10,0
Ecolicontig000283751738341,BHI10,1
Ecolicontig000342625228018,BHI10,1
Ecolicontig00085296901,BHI10,1
Ecolicontig000194772648154,BHI10,1
Ecolicontig00004112217112648,BHI10,1
Ecolicontig0001735624656,BHI10,1
Ecolicontig000343335034516,BHI10,1
Ecolicontig000071016411312,BHI10,1
Ecolicontig000422244523854,BHI10,1
Ecolicontig000342895131752,BHI10,1
Ecolicontig000661181812471,BHI10,1
Ecolicontig00007110932113451,BHI10,1
Ecolicontig000165038752567,BHI10,1
Ecolicontig000236281864122,BHI10,1
Ecolicontig000026285863856,BHI10,1
Ecolicontig000235160452293,BHI10,1
Ecolicontig00019978110689,BHI10,1
Ecolicontig000051906920244,BHI10,1
Ecolicontig000147146272325,BHI10,1
Ecolicontig000135735957856,BHI10,1
Ecolicontig000392297623434,BHI10,1
Ecolicontig000371483316074,BHI10,1
Ecolicontig000274966850606,BHI10,1
Ecolicontig000343451635385,BHI10,1
Ecolicontig0006756966628,BHI10,1
Ecolicontig000343176732984,BHI10,1
Ecolicontig000082765728628,BHI10,1
Ecolicontig000197710079340,BHI10,1
Ecolicontig000217022071932,BHI10,1
Ecolicontig000068707588697,BHI10,1
Ecolicontig000295335854419,BHI10,1
Ecolicontig000196104361900,BHI10,1
Ecolicontig000144278144196,BHI10,1
Ecolicontig0001544186064,BHI10,1
Ecolicontig000044383946118,BHI10,1
Ecolicontig000118063981421,BHI10,1
Ecolicontig000174069441848,BHI10,1
Ecolicontig000064354744650,BHI10,1
Ecolicontig000432020521623,BHI10,1
Ecolicontig000129634497594,BHI10,1
Ecolicontig000182060621796,BHI10,0
Ecolicontig000175368254728,BHI10,1
Ecolicontig0006780519199,BHI10,1
