"Population","Gene","Prop"
"1G_1","wcaJ",15.031
"1G_3","wzxC",6.535
"1G_3","xanP",10.692
"1G_3","yaaU",3.872
"1G_3","yaiL",3.619
"1G_3","ybaL",24.798
"1G_3","ybdH",1.13
"1G_3","ybeQ",1.368
"1G_3","ybhF",96.988
"1G_1","ybhK",2.465
"1G_3","ybhO",4.941
"1G_3","ybiC",55.476
"1G_3","ybiP",16.497
"1G_3","ybjJ",3.841
"1G_3","ybjT",2.183
"1G_3","ycfQ",2.316
"1G_3","ycfT",5.405
"1G_3","yciM",23.417
"1G_2","ycjF",1.389
"1G_1","ydcP",2.087
"1G_3","ydcR",6.265
"1G_3","ydeR",1.012
"1G_1","ydfR",2.386
"1G_2","yeaJ",1.031
"1G_1","yeaP",1.18
"1G_1","yebC",3.964
"1G_1","yecS",1.018
"1G_3","yeeJ",3.469
"1G_3","yeiE",6.911
"1G_3","yejK",2.716
"1G_1","yfbS",11.402
"1G_2","yfbU",1.053
"1G_3","yfdX",19.136
"1G_1","yfeO",1.033
"1G_3","yfeX",21.092
"1G_3","yfiM",11.816
"1G_3","yfjL",1.573
"1G_3","yfjX",3.565
"1G_1","yfjY",9.532
"1G_1","yfjZ",13.402
"1G_3","yggE",1.213
"1G_3","yghJ",13.496
"1G_2","yghJ",1.429
"1G_2","ygjD",7.759
"1G_1","yhaJ",1.449
"1G_3","yhdZ",1.732
"1G_1","yhfZ",2.01
"1G_3","yhjA",1.019
"1G_3","yiaB",2.202
"1G_2","yiaN",2.055
"1G_3","yiaR",11.368
"1G_1","yijE",1.832
"1G_2","yijF",3.111
"1G_1","yjaB",1.134
"1G_3","yjdK",1.788
"1G_2","yjdL",2.456
"1G_3","yjdP",1.025
"1G_1","yjfO",1.075
"1G_3","yjhF",22.878
"1G_1","yjhI",5.927
"1G_1","ymfE",1.318
"1G_3","ymgF",60.968
"1G_1","ynbD",5.142
"1G_3","yoaA",8.633
"1G_3","yobF",1.382
"1G_3","yphH",6.196
"1G_1","yqjF",1.568
