"population","gene","prop"
"BYB1-G07","WHI2",0.5
"BYB2-F09","WHI2",0.15
"RMS1-E09","WHI2",0.07
"BYS2-C01","YAT1",0.95
"BYS1-G01","YDR524C-B",0.43
"RMS1-G02","YGR201C",0.08
"BYS2-A11","YHR033W",1
"RMS1-G02","YHR122W",0.73
"BYS2-D06","YIL102C-A",0.92
"RMS1-E09","YKL050C",0.07
"BYB1-C05","YLR177W",0.89
"RMS1-G02","YLR413W",0.87
"BYS1-D07","YMR102C",0.21
"BYS1-E03","YMR102C",0.79
"RMS1-E09","YMR317W",0.07
"BYB1-H06","YNL165W",0.34
"RMS1-D12","YNL190W",0.38
"BYS2-E04","YNL207W",0.99
"BYS1-G01","YNR066C",0.6
"RMB2-B10","YOL036W",0.51
"BYS2-C03","YOL162W",0.99
"BYB2-E05","YPK1",0.12
"BYB1-G07","YPR196W",0.59
"BYB1-G07","YUR1",0.29
"BYS1-A09","YUR1",0.07
"BYS1-D08","YUR1",1
"BYS1-G01","YUR1",0.39
"BYS2-D07","YUR1",1
"BYS2-E04","YUR1",0.99
"RMB2-B10","YUR1",0.49
"BYB1-H06","ZRT2",0.59
"RMB2-F01","ZWF1",0.98
